precinct_id,registered_voters,turnout_rate,total_votes,absentee_share,absentee_votes,early_share,early_votes,election_day_votes,provisional_votes,candidate_a_votes,candidate_b_votes,is_injected_anomaly,anomaly_label,anomaly_score
P0001,1174,0.7652784184630115,898,0.2980214711204164,268,0.1576969982048583,142,488,2,372,526,0,1,0.11966322826301667
P0002,4050,0.6925638853956276,2805,0.2468363979227729,692,0.1264121627049082,354,1759,144,1553,1252,1,-1,-0.05820506709720508
P0003,3549,0.6673092130369049,2368,0.2108203728857658,499,0.1806870775002392,428,1441,4,914,1454,0,1,0.15138731132166955
P0004,2643,0.5971476997739351,1578,0.2444143125832406,386,0.1620441177668846,256,936,2,773,805,0,1,0.1590978703831195
P0005,2618,0.5460253644236515,1429,0.356570879208841,510,0.119095925656271,170,749,3,744,685,0,1,0.09482296849174454
P0006,4406,0.6410953672741335,2825,0.3653886370337627,1032,0.3029253390517972,856,937,4,2131,694,0,1,0.00019558328059798846
P0007,1160,0.6756973959345344,784,0.2248566794592945,176,0.2871101041243278,225,383,5,292,492,0,1,0.08380496529080922
P0008,3728,0.8214343930863907,3062,0.2312133415321952,708,0.2481629210133257,760,1594,6,2012,1050,0,1,0.062192125909713625
P0009,1646,0.6904219617178309,1136,0.295336811022647,336,0.1247489761314523,142,658,2,596,540,0,1,0.12987082760118407
P0010,1195,0.7586191608818447,907,0.1608037277062857,146,0.2313011594578367,210,551,2,500,407,0,1,0.12676545414022777
P0011,3011,0.6400563521168678,1927,0.2433149260832778,469,0.2183775845698741,421,1037,2,1006,921,0,1,0.1672556305254259
P0012,4897,0.585204498686638,2866,0.21818960064323,625,0.2065527374522431,592,1649,1,1589,1277,0,1,0.11929774618306038
P0013,3890,0.6027906590214103,2345,0.2419735748020287,567,0.2549799160226266,598,1180,5,1160,1185,0,1,0.13355264503596853
P0014,3996,0.6219819148371398,2485,0.1616641835835416,402,0.2181222685716766,542,1541,0,1629,856,0,1,0.11060965755887808
P0015,3813,0.8502775785948132,3242,0.1087302754683721,353,0.2244008541782601,728,2161,1,1505,1737,0,1,0.04112667301202011
P0016,4101,0.6142890656620492,2519,0.0748911594806095,189,0.2182143770023326,550,1780,4,1570,949,0,1,0.10056023196037867
P0017,2955,0.7470791362989077,2208,0.1417831120907274,313,0.2004474844801263,443,1452,5,984,1224,0,1,0.13956616508166864
P0018,1338,0.607765825753038,813,0.1878927300542466,153,0.0729833322171489,59,601,1,410,403,0,1,0.07669622632390971
P0019,4326,0.7545258410299396,3264,0.1994765889345866,651,0.1850172646446334,604,2009,5,1315,1949,0,1,0.09161995168560388
P0020,2691,0.710796077288469,1913,0.3556061813700661,680,0.1466284824690524,281,952,4,1063,850,0,1,0.13434052643082073
P0021,2901,0.6674689681873528,1936,0.2974195358935109,576,0.1032095425415987,200,1160,3,1267,669,0,1,0.12453502577140818
P0022,2357,0.6767389979091654,1595,0.152653621856086,243,0.2809089971580494,448,904,2,801,794,0,1,0.13274528617279685
P0023,1566,0.6276169843656488,983,0.244339591671567,240,0.2837397204531422,278,465,5,72,911,1,1,0.04801239051207762
P0024,4692,0.7156857761185665,3358,0.1915045234554772,643,0.2615532360177367,878,1837,1,1338,2020,0,1,0.058397376401030376
P0025,4082,0.6436013215727376,2627,0.2000945313371933,526,0.1953128050113524,513,1588,2,1280,1347,0,1,0.15329246840932498
